code	lut_i32	sample14
0	0	0
1	0	0
2	0	0
3	1	0
4	1	0
5	2	1
6	2	1
7	3	1
8	3	1
9	4	1
10	4	1
11	5	1
12	5	1
13	6	2
14	6	2
15	7	2
16	7	2
17	8	2
18	8	2
19	9	2
20	9	2
21	10	3
22	10	3
23	11	3
24	11	3
25	12	3
26	12	3
27	13	3
28	13	3
29	14	4
30	14	4
31	15	4
32	15	4
33	16	4
34	16	4
35	17	4
36	17	4
37	18	5
38	18	5
39	19	5
40	19	5
41	20	5
42	20	5
43	21	5
44	21	5
45	22	6
46	22	6
47	23	6
48	23	6
49	24	6
50	24	6
51	25	6
52	25	6
53	26	7
54	26	7
55	27	7
56	27	7
57	28	7
58	28	7
59	29	7
60	29	7
61	30	8
62	30	8
63	31	8
64	31	8
65	32	8
66	32	8
67	33	8
68	33	8
69	34	9
70	34	9
71	34	9
72	35	9
73	35	9
74	36	9
75	36	9
76	37	9
77	37	9
78	38	10
79	38	10
80	39	10
81	39	10
82	40	10
83	40	10
84	41	10
85	41	10
86	42	11
87	42	11
88	43	11
89	43	11
90	44	11
91	44	11
92	45	11
93	45	11
94	46	12
95	46	12
96	47	12
97	47	12
98	48	12
99	48	12
100	49	12
101	49	12
102	50	13
103	50	13
104	51	13
105	51	13
106	52	13
107	52	13
108	53	13
109	53	13
110	54	14
111	54	14
112	55	14
113	55	14
114	56	14
115	56	14
116	57	14
117	57	14
118	58	15
119	58	15
120	59	15
121	59	15
122	60	15
123	60	15
124	61	15
125	61	15
126	62	16
127	62	16
128	63	16
129	63	16
130	64	16
131	64	16
132	65	16
133	65	16
134	66	17
135	66	17
136	67	17
137	67	17
138	68	17
139	68	17
140	68	17
141	69	17
142	69	17
143	70	18
144	70	18
145	71	18
146	71	18
147	72	18
148	72	18
149	73	18
150	73	18
151	74	19
152	74	19
153	75	19
154	75	19
155	76	19
156	76	19
157	77	19
158	77	19
159	78	20
160	78	20
161	79	20
162	79	20
163	80	20
164	80	20
165	81	20
166	81	20
167	82	21
168	82	21
169	83	21
170	83	21
171	84	21
172	84	21
173	85	21
174	85	21
175	86	22
176	86	22
177	87	22
178	87	22
179	88	22
180	88	22
181	89	22
182	89	22
183	90	23
184	90	23
185	91	23
186	91	23
187	92	23
188	92	23
189	93	23
190	93	23
191	94	24
192	94	24
193	95	24
194	95	24
195	96	24
196	96	24
197	97	24
198	97	24
199	98	25
200	98	25
201	99	25
202	99	25
203	100	25
204	100	25
205	101	25
206	101	25
207	102	26
208	102	26
209	103	26
210	103	26
211	103	26
212	104	26
213	104	26
214	105	26
215	105	26
216	106	27
217	106	27
218	107	27
219	107	27
220	108	27
221	108	27
222	109	27
223	109	27
224	110	28
225	110	28
226	111	28
227	111	28
228	112	28
229	112	28
230	113	28
231	113	28
232	114	29
233	114	29
234	115	29
235	115	29
236	116	29
237	116	29
238	117	29
239	117	29
240	118	30
241	118	30
242	119	30
243	119	30
244	120	30
245	120	30
246	121	30
247	121	30
248	122	31
249	122	31
250	123	31
251	123	31
252	124	31
253	124	31
254	125	31
255	125	31
256	126	32
257	126	32
258	127	32
259	127	32
260	128	32
261	128	32
262	129	32
263	129	32
264	130	33
265	130	33
266	131	33
267	131	33
268	132	33
269	132	33
270	133	33
271	133	33
272	134	34
273	134	34
274	135	34
275	135	34
276	136	34
277	136	34
278	137	34
279	137	34
280	137	34
281	138	35
282	138	35
283	139	35
284	139	35
285	140	35
286	140	35
287	141	35
288	141	35
289	142	36
290	142	36
291	143	36
292	143	36
293	144	36
294	144	36
295	145	36
296	145	36
297	146	37
298	146	37
299	147	37
300	147	37
301	148	37
302	148	37
303	149	37
304	149	37
305	150	38
306	150	38
307	151	38
308	151	38
309	152	38
310	152	38
311	153	38
312	153	38
313	154	39
314	154	39
315	155	39
316	155	39
317	156	39
318	156	39
319	157	39
320	157	39
321	158	40
322	158	40
323	159	40
324	159	40
325	160	40
326	160	40
327	161	40
328	161	40
329	162	41
330	162	41
331	163	41
332	163	41
333	164	41
334	164	41
335	165	41
336	165	41
337	166	42
338	166	42
339	167	42
340	167	42
341	168	42
342	168	42
343	169	42
344	169	42
345	170	43
346	170	43
347	171	43
348	171	43
349	172	43
350	172	43
351	172	43
352	173	43
353	173	43
354	174	44
355	174	44
356	175	44
357	175	44
358	176	44
359	176	44
360	177	44
361	177	44
362	178	45
363	178	45
364	179	45
365	179	45
366	180	45
367	180	45
368	181	45
369	181	45
370	182	46
371	182	46
372	182	46
373	183	46
374	183	46
375	184	46
376	184	46
377	185	46
378	185	46
379	186	47
380	186	47
381	187	47
382	187	47
383	188	47
384	188	47
385	189	47
386	189	47
387	190	48
388	190	48
389	191	48
390	191	48
391	192	48
392	192	48
393	193	48
394	193	48
395	193	48
396	194	49
397	194	49
398	195	49
399	195	49
400	196	49
401	196	49
402	197	49
403	197	49
404	198	50
405	198	50
406	199	50
407	199	50
408	200	50
409	200	50
410	201	50
411	201	50
412	202	51
413	202	51
414	203	51
415	203	51
416	204	51
417	204	51
418	204	51
419	205	51
420	205	51
421	206	52
422	206	52
423	207	52
424	207	52
425	208	52
426	208	52
427	209	52
428	209	52
429	210	53
430	210	53
431	211	53
432	211	53
433	212	53
434	212	53
435	213	53
436	213	53
437	214	54
438	214	54
439	215	54
440	215	54
441	215	54
442	216	54
443	216	54
444	217	54
445	217	54
446	218	55
447	218	55
448	219	55
449	219	55
450	220	55
451	220	55
452	221	55
453	221	55
454	222	56
455	222	56
456	223	56
457	223	56
458	224	56
459	224	56
460	225	56
461	225	56
462	225	56
463	226	57
464	226	57
465	227	57
466	227	57
467	228	57
468	228	57
469	229	57
470	229	57
471	230	58
472	230	58
473	231	58
474	231	58
475	232	58
476	232	58
477	233	58
478	233	58
479	234	59
480	234	59
481	235	59
482	235	59
483	236	59
484	236	59
485	236	59
486	237	59
487	237	59
488	238	60
489	238	60
490	239	60
491	239	60
492	240	60
493	240	60
494	241	60
495	241	60
496	242	61
497	242	61
498	243	61
499	243	61
500	244	61
501	244	61
502	245	61
503	245	61
504	246	62
505	246	62
506	247	62
507	247	62
508	247	62
509	248	62
510	248	62
511	249	62
512	249	62
513	250	63
514	250	63
515	251	63
516	251	63
517	252	63
518	252	63
519	253	63
520	253	63
521	254	64
522	254	64
523	255	64
524	255	64
525	256	64
526	256	64
527	257	64
528	257	64
529	258	65
530	258	65
531	258	65
532	259	65
533	259	65
534	260	65
535	260	65
536	261	65
537	261	65
538	262	66
539	262	66
540	263	66
541	263	66
542	264	66
543	264	66
544	265	66
545	265	66
546	266	67
547	266	67
548	267	67
549	267	67
550	268	67
551	268	67
552	268	67
553	269	67
554	269	67
555	270	68
556	270	68
557	271	68
558	271	68
559	272	68
560	272	68
561	273	68
562	273	68
563	274	69
564	274	69
565	275	69
566	275	69
567	276	69
568	276	69
569	277	69
570	277	69
